Sku,Name,Description,Brand,CategoryName,SubCategoryName,Price,Currency,StockQuantity,Sizes,Colors,Material
MEN-SHIR-073,US Polo Urban Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,US Polo,Men,Shirts,3879.99,USD,49,S|M|L|XL|XXL,Olive|White|Maroon,Cotton
MEN-SHIR-074,HRX Premium Shirts,Premium quality shirts for men. Crafted from linen for lasting comfort and style.,HRX,Men,Shirts,3990.99,USD,1,S|M|L|XL|XXL,Maroon,Linen
MEN-SHIR-075,Arrow Designer Shirts,Premium quality shirts for men. Crafted from linen for lasting comfort and style.,Arrow,Men,Shirts,1305.99,USD,198,S|M|L|XL|XXL,Black|Khaki,Linen
MEN-SHIR-076,Peter England Relaxed Shirts,Premium quality shirts for men. Crafted from canvas for lasting comfort and style.,Peter England,Men,Shirts,4667.99,USD,146,S|M|L|XL|XXL,Navy Blue,Canvas
MEN-SHIR-077,HRX Signature Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,HRX,Men,Shirts,1658.99,USD,168,S|M|L|XL|XXL,Grey|Brown|Sky Blue,Cotton
MEN-SHIR-078,US Polo Signature Shirts,Premium quality shirts for men. Crafted from canvas for lasting comfort and style.,US Polo,Men,Shirts,1856.99,USD,8,S|M|L|XL|XXL,Charcoal|Brown,Canvas
MEN-SHIR-079,Louis Philippe Premium Shirts,Premium quality shirts for men. Crafted from linen for lasting comfort and style.,Louis Philippe,Men,Shirts,2057.99,USD,15,S|M|L|XL|XXL,Khaki,Linen
MEN-SHIR-080,Arrow Premium Shirts,Premium quality shirts for men. Crafted from canvas for lasting comfort and style.,Arrow,Men,Shirts,2852.99,USD,146,S|M|L|XL|XXL,Black,Canvas
MEN-SHIR-081,Arrow Slim Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,Arrow,Men,Shirts,4971.99,USD,38,S|M|L|XL|XXL,Olive,Cotton
MEN-SHIR-082,Arrow Premium Shirts,Premium quality shirts for men. Crafted from linen for lasting comfort and style.,Arrow,Men,Shirts,4868.99,USD,121,S|M|L|XL|XXL,White|Black,Linen
MEN-SHIR-083,Peter England Classic Shirts,Premium quality shirts for men. Crafted from wool for lasting comfort and style.,Peter England,Men,Shirts,1194.99,USD,161,S|M|L|XL|XXL,Black|White,Wool
MEN-SHIR-084,US Polo Essential Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,US Polo,Men,Shirts,1654.99,USD,180,S|M|L|XL|XXL,Grey|Maroon|Navy Blue,Cotton
MEN-SHIR-085,Wrangler Premium Shirts,Premium quality shirts for men. Crafted from canvas for lasting comfort and style.,Wrangler,Men,Shirts,1106.99,USD,115,S|M|L|XL|XXL,Navy Blue,Canvas
MEN-SHIR-086,Levis Slim Shirts,Premium quality shirts for men. Crafted from canvas for lasting comfort and style.,Levis,Men,Shirts,571.99,USD,138,S|M|L|XL|XXL,Charcoal|Maroon|White,Canvas
MEN-SHIR-087,Louis Philippe Signature Shirts,Premium quality shirts for men. Crafted from polyester for lasting comfort and style.,Louis Philippe,Men,Shirts,2455.99,USD,195,S|M|L|XL|XXL,Khaki|Sky Blue,Polyester
MEN-SHIR-088,HRX Relaxed Shirts,Premium quality shirts for men. Crafted from denim for lasting comfort and style.,HRX,Men,Shirts,2602.99,USD,88,S|M|L|XL|XXL,Maroon|Navy Blue|Black,Denim
MEN-SHIR-089,Peter England Sporty Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,Peter England,Men,Shirts,4570.99,USD,184,S|M|L|XL|XXL,Maroon,Cotton
MEN-SHIR-090,Arrow Sporty Shirts,Premium quality shirts for men. Crafted from linen for lasting comfort and style.,Arrow,Men,Shirts,2135.99,USD,13,S|M|L|XL|XXL,Brown|Charcoal|Navy Blue,Linen
MEN-SHIR-091,US Polo Sporty Shirts,Premium quality shirts for men. Crafted from linen for lasting comfort and style.,US Polo,Men,Shirts,3294.99,USD,26,S|M|L|XL|XXL,Black|Grey|Maroon,Linen
MEN-SHIR-092,Louis Philippe Sporty Shirts,Premium quality shirts for men. Crafted from wool for lasting comfort and style.,Louis Philippe,Men,Shirts,2347.99,USD,185,S|M|L|XL|XXL,Maroon,Wool
MEN-SHIR-093,Arrow Designer Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,Arrow,Men,Shirts,1711.99,USD,122,S|M|L|XL|XXL,Black|White|Navy Blue,Cotton
MEN-SHIR-094,HRX Sporty Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,HRX,Men,Shirts,3916.99,USD,43,S|M|L|XL|XXL,Sky Blue|Maroon|Charcoal,Cotton
MEN-SHIR-095,Louis Philippe Sporty Shirts,Premium quality shirts for men. Crafted from linen for lasting comfort and style.,Louis Philippe,Men,Shirts,3362.99,USD,27,S|M|L|XL|XXL,Brown,Linen
MEN-SHIR-096,Peter England Classic Shirts,Premium quality shirts for men. Crafted from leather for lasting comfort and style.,Peter England,Men,Shirts,4654.99,USD,186,S|M|L|XL|XXL,Navy Blue,Leather
MEN-SHIR-097,Zara Man Urban Shirts,Premium quality shirts for men. Crafted from wool for lasting comfort and style.,Zara Man,Men,Shirts,4849.99,USD,112,S|M|L|XL|XXL,Navy Blue,Wool
MEN-SHIR-098,Jack & Jones Relaxed Shirts,Premium quality shirts for men. Crafted from denim for lasting comfort and style.,Jack & Jones,Men,Shirts,3290.99,USD,64,S|M|L|XL|XXL,Grey,Denim
MEN-SHIR-099,US Polo Relaxed Shirts,Premium quality shirts for men. Crafted from denim for lasting comfort and style.,US Polo,Men,Shirts,4132.99,USD,72,S|M|L|XL|XXL,Sky Blue,Denim
MEN-SHIR-100,Zara Man Urban Shirts,Premium quality shirts for men. Crafted from leather for lasting comfort and style.,Zara Man,Men,Shirts,3836.99,USD,126,S|M|L|XL|XXL,Sky Blue|Black|Charcoal,Leather
MEN-TSHI-001,Louis Philippe Relaxed T-Shirts,Premium quality t-shirts for men. Crafted from canvas for lasting comfort and style.,Louis Philippe,Men,T-Shirts,4057.99,USD,55,S|M|L|XL|XXL,Sky Blue|Grey|Navy Blue,Canvas
MEN-TSHI-002,US Polo Premium T-Shirts,Premium quality t-shirts for men. Crafted from canvas for lasting comfort and style.,US Polo,Men,T-Shirts,913.99,USD,98,S|M|L|XL|XXL,Maroon|White,Canvas
MEN-TSHI-003,Peter England Modern T-Shirts,Premium quality t-shirts for men. Crafted from cotton for lasting comfort and style.,Peter England,Men,T-Shirts,799.99,USD,71,S|M|L|XL|XXL,Brown,Cotton
MEN-TSHI-004,Jack & Jones Vintage T-Shirts,Premium quality t-shirts for men. Crafted from wool for lasting comfort and style.,Jack & Jones,Men,T-Shirts,3921.99,USD,109,S|M|L|XL|XXL,Charcoal,Wool
MEN-TSHI-005,US Polo Modern T-Shirts,Premium quality t-shirts for men. Crafted from leather for lasting comfort and style.,US Polo,Men,T-Shirts,1099.99,USD,136,S|M|L|XL|XXL,Charcoal|Maroon,Leather
MEN-TSHI-006,Zara Man Relaxed T-Shirts,Premium quality t-shirts for men. Crafted from cotton for lasting comfort and style.,Zara Man,Men,T-Shirts,4333.99,USD,99,S|M|L|XL|XXL,White|Maroon,Cotton
MEN-TSHI-007,Peter England Premium T-Shirts,Premium quality t-shirts for men. Crafted from wool for lasting comfort and style.,Peter England,Men,T-Shirts,2870.99,USD,154,S|M|L|XL|XXL,White|Maroon|Khaki,Wool
MEN-TSHI-008,Zara Man Vintage T-Shirts,Premium quality t-shirts for men. Crafted from leather for lasting comfort and style.,Zara Man,Men,T-Shirts,3570.99,USD,49,S|M|L|XL|XXL,Maroon,Leather
MEN-TSHI-009,Peter England Modern T-Shirts,Premium quality t-shirts for men. Crafted from cotton for lasting comfort and style.,Peter England,Men,T-Shirts,3230.99,USD,117,S|M|L|XL|XXL,White|Brown,Cotton
MEN-TSHI-010,Wrangler Modern T-Shirts,Premium quality t-shirts for men. Crafted from leather for lasting comfort and style.,Wrangler,Men,T-Shirts,3746.99,USD,58,S|M|L|XL|XXL,Olive,Leather
MEN-TSHI-011,HRX Classic T-Shirts,Premium quality t-shirts for men. Crafted from linen for lasting comfort and style.,HRX,Men,T-Shirts,2281.99,USD,42,S|M|L|XL|XXL,Black|Navy Blue,Linen
MEN-TSHI-012,Levis Relaxed T-Shirts,Premium quality t-shirts for men. Crafted from leather for lasting comfort and style.,Levis,Men,T-Shirts,3930.99,USD,69,S|M|L|XL|XXL,Black|Grey|Sky Blue,Leather
MEN-TSHI-013,Jack & Jones Classic T-Shirts,Premium quality t-shirts for men. Crafted from denim for lasting comfort and style.,Jack & Jones,Men,T-Shirts,500.99,USD,157,S|M|L|XL|XXL,White|Sky Blue|Brown,Denim
MEN-TSHI-014,Wrangler Urban T-Shirts,Premium quality t-shirts for men. Crafted from linen for lasting comfort and style.,Wrangler,Men,T-Shirts,1082.99,USD,136,S|M|L|XL|XXL,Olive,Linen
MEN-TSHI-015,Raymond Relaxed T-Shirts,Premium quality t-shirts for men. Crafted from polyester for lasting comfort and style.,Raymond,Men,T-Shirts,1855.99,USD,71,S|M|L|XL|XXL,Brown|Sky Blue,Polyester
MEN-TSHI-016,Wrangler Vintage T-Shirts,Premium quality t-shirts for men. Crafted from cotton for lasting comfort and style.,Wrangler,Men,T-Shirts,2720.99,USD,20,S|M|L|XL|XXL,Olive,Cotton
MEN-TSHI-017,US Polo Classic T-Shirts,Premium quality t-shirts for men. Crafted from cotton for lasting comfort and style.,US Polo,Men,T-Shirts,4103.99,USD,54,S|M|L|XL|XXL,White,Cotton
MEN-TSHI-018,Zara Man Designer T-Shirts,Premium quality t-shirts for men. Crafted from wool for lasting comfort and style.,Zara Man,Men,T-Shirts,4374.99,USD,104,S|M|L|XL|XXL,Grey,Wool
MEN-TSHI-019,US Polo Relaxed T-Shirts,Premium quality t-shirts for men. Crafted from canvas for lasting comfort and style.,US Polo,Men,T-Shirts,691.99,USD,71,S|M|L|XL|XXL,Khaki|Brown|White,Canvas
MEN-TSHI-020,Jack & Jones Slim T-Shirts,Premium quality t-shirts for men. Crafted from polyester for lasting comfort and style.,Jack & Jones,Men,T-Shirts,2850.99,USD,188,S|M|L|XL|XXL,Sky Blue|Khaki|Grey,Polyester
MEN-TSHI-021,Louis Philippe Modern T-Shirts,Premium quality t-shirts for men. Crafted from denim for lasting comfort and style.,Louis Philippe,Men,T-Shirts,2439.99,USD,143,S|M|L|XL|XXL,Khaki|Black,Denim
MEN-TSHI-022,Raymond Everyday T-Shirts,Premium quality t-shirts for men. Crafted from canvas for lasting comfort and style.,Raymond,Men,T-Shirts,1322.99,USD,170,S|M|L|XL|XXL,Black|Grey|White,Canvas
MEN-TSHI-023,Raymond Designer T-Shirts,Premium quality t-shirts for men. Crafted from linen for lasting comfort and style.,Raymond,Men,T-Shirts,3272.99,USD,86,S|M|L|XL|XXL,Black,Linen
MEN-TSHI-024,Louis Philippe Everyday T-Shirts,Premium quality t-shirts for men. Crafted from canvas for lasting comfort and style.,Louis Philippe,Men,T-Shirts,3583.99,USD,4,S|M|L|XL|XXL,Charcoal|Grey,Canvas
MEN-TSHI-025,HRX Premium T-Shirts,Premium quality t-shirts for men. Crafted from denim for lasting comfort and style.,HRX,Men,T-Shirts,711.99,USD,130,S|M|L|XL|XXL,White,Denim
MEN-TSHI-026,Louis Philippe Designer T-Shirts,Premium quality t-shirts for men. Crafted from cotton for lasting comfort and style.,Louis Philippe,Men,T-Shirts,4771.99,USD,165,S|M|L|XL|XXL,Charcoal,Cotton
MEN-TSHI-027,Levis Urban T-Shirts,Premium quality t-shirts for men. Crafted from linen for lasting comfort and style.,Levis,Men,T-Shirts,3350.99,USD,105,S|M|L|XL|XXL,Sky Blue|Khaki|Maroon,Linen
MEN-TSHI-028,Levis Classic T-Shirts,Premium quality t-shirts for men. Crafted from linen for lasting comfort and style.,Levis,Men,T-Shirts,1157.99,USD,183,S|M|L|XL|XXL,Charcoal,Linen
MEN-TSHI-029,Levis Everyday T-Shirts,Premium quality t-shirts for men. Crafted from wool for lasting comfort and style.,Levis,Men,T-Shirts,916.99,USD,119,S|M|L|XL|XXL,Brown|Black|Grey,Wool
MEN-TSHI-030,Zara Man Essential T-Shirts,Premium quality t-shirts for men. Crafted from leather for lasting comfort and style.,Zara Man,Men,T-Shirts,4566.99,USD,44,S|M|L|XL|XXL,Maroon|Olive|Navy Blue,Leather
MEN-TSHI-031,Jack & Jones Designer T-Shirts,Premium quality t-shirts for men. Crafted from polyester for lasting comfort and style.,Jack & Jones,Men,T-Shirts,2460.99,USD,117,S|M|L|XL|XXL,Khaki,Polyester
MEN-TSHI-032,Levis Relaxed T-Shirts,Premium quality t-shirts for men. Crafted from cotton for lasting comfort and style.,Levis,Men,T-Shirts,4485.99,USD,111,S|M|L|XL|XXL,Charcoal,Cotton
